"Guid","IsActive","Pricebook2Id","UnitPrice","UseStandardPrice"
813c7534-46bf-44f4-bb19-c441268002a0,true,b6ca1d30-0755-4403-9a24-34a950b46977,33.45,false
8582a672-0d6d-477b-991d-dadefb893100,true,b6ca1d30-0755-4403-9a24-34a950b46977,500.0,false
89d2e4ec-d902-49e5-b871-f66371c6fb7f,true,b6ca1d30-0755-4403-9a24-34a950b46977,499.0,false
905d49c1-3cc8-4df7-8c8c-ba315504e98f,true,b6ca1d30-0755-4403-9a24-34a950b46977,12.74,false
92d8ce14-d5a7-444e-bea4-52d36674cdd2,true,b6ca1d30-0755-4403-9a24-34a950b46977,75000.0,false
94b3c83a-3aad-4710-add1-0716dcfac55f,true,b6ca1d30-0755-4403-9a24-34a950b46977,449.0,false
94ef2b9d-5ab5-4665-8825-6d2257cb42d8,true,b6ca1d30-0755-4403-9a24-34a950b46977,12.74,false
96abcb18-2123-4e1c-9c13-c52f7614633e,true,b6ca1d30-0755-4403-9a24-34a950b46977,450.0,false
96b544d6-1b50-44a2-addb-5036c942b644,true,b6ca1d30-0755-4403-9a24-34a950b46977,500.0,false
98dc2012-5a10-4a3c-9038-d79932e00c2b,true,b6ca1d30-0755-4403-9a24-34a950b46977,33.45,false
99645b4d-9be5-4d72-918d-9bc76796ed86,true,b6ca1d30-0755-4403-9a24-34a950b46977,33.45,false
9d69cf06-1a94-43f9-9cdd-453caad6f3f1,true,b6ca1d30-0755-4403-9a24-34a950b46977,89.96,false
a30bbf07-a52b-418e-8c31-c1f12317abf1,true,b6ca1d30-0755-4403-9a24-34a950b46977,121.42,false
a5e916ba-e4d7-472b-b196-21e9163fd890,true,b6ca1d30-0755-4403-9a24-34a950b46977,1000.0,false
a870a975-968c-4d50-8116-925ec89e3607,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
ac8b9908-5ecb-40b1-a199-02d3f36ee8bb,true,b6ca1d30-0755-4403-9a24-34a950b46977,399.0,false
b31c84be-57c2-4ed7-a24f-9ce38649066a,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
b718cde6-122c-45af-a855-27921e1c419b,true,b6ca1d30-0755-4403-9a24-34a950b46977,12.74,false
be3875d2-8502-44cf-9864-81420a782a69,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
cb21226f-1c3e-4f64-a5dc-898a1333ab01,true,b6ca1d30-0755-4403-9a24-34a950b46977,500.0,false
d6df76c7-74cc-455b-a688-434f87d05ba3,true,b6ca1d30-0755-4403-9a24-34a950b46977,33.45,false
e81d2ca4-9300-4715-a5b4-8529add159a6,true,b6ca1d30-0755-4403-9a24-34a950b46977,2500.0,false
edf347a2-b653-476f-97f0-98856055725c,true,b6ca1d30-0755-4403-9a24-34a950b46977,1288.0,false
f52add53-dbbc-4334-b960-387e26aaf444,true,b6ca1d30-0755-4403-9a24-34a950b46977,12.74,false
